,dragon_adv,baron_adv,tower_adv,first_dragon,first_baron,first_tower,first_riftherald
Iron,0.6371,0.5299,0.8819,0.2768,0.4571,0.3885,0.2078
Bronze,0.626,0.4922,0.8578,0.2945,0.4142,0.3631,0.2871
Silver,0.6622,0.5413,0.8672,0.3069,0.4709,0.3854,0.2846
Gold,0.605,0.5003,0.8625,0.2345,0.3987,0.3299,0.24
Platinum,0.6121,0.5146,0.8706,0.2327,0.4478,0.4355,0.2717
Emerald,0.5905,0.4873,0.8648,0.1901,0.3397,0.4544,0.274
Diamond,0.5965,0.529,0.8698,0.2605,0.4406,0.3984,0.3222
Master,0.6652,0.5924,0.8791,0.32,0.533,0.3742,0.3188
GrandMaster,0.6182,0.5732,0.8711,0.2474,0.4588,0.3366,0.2294
Challenger,0.5327,0.5404,0.87,0.1791,0.4283,0.3994,0.2385
