rank,feature,win_mean,loss_mean,t_stat,p_value,significant,cohens_d
Iron,dragon_adv,1.6,-1.579,11.997,0.0,✓,1.681
Iron,baron_adv,0.541,-0.46,9.07,0.0,✓,1.27
Iron,tower_adv,5.753,-5.992,27.135,0.0,✓,3.802
Iron,first_dragon,0.588,0.31,4.112,0.0001,✓,0.581
Iron,first_baron,0.529,0.111,6.825,0.0,✓,0.998
Iron,first_tower,0.671,0.278,6.036,0.0,✓,0.851
Iron,first_riftherald,0.435,0.238,2.98,0.0033,✓,0.425
Bronze,dragon_adv,1.808,-1.39,17.486,0.0,✓,1.602
Bronze,baron_adv,0.546,-0.386,12.304,0.0,✓,1.128
Bronze,tower_adv,5.598,-5.494,36.21,0.0,✓,3.324
Bronze,first_dragon,0.668,0.373,6.731,0.0,✓,0.616
Bronze,first_baron,0.524,0.137,9.781,0.0,✓,0.902
Bronze,first_tower,0.672,0.309,8.498,0.0,✓,0.778
Bronze,first_riftherald,0.476,0.205,6.481,0.0,✓,0.596
Silver,dragon_adv,1.991,-1.194,19.205,0.0,✓,1.767
Silver,baron_adv,0.665,-0.442,13.966,0.0,✓,1.286
Silver,tower_adv,5.648,-5.322,37.79,0.0,✓,3.478
Silver,first_dragon,0.722,0.417,7.009,0.0,✓,0.645
Silver,first_baron,0.635,0.174,11.504,0.0,✓,1.063
Silver,first_tower,0.691,0.306,9.055,0.0,✓,0.834
Silver,first_riftherald,0.543,0.264,6.417,0.0,✓,0.592
Gold,dragon_adv,1.527,-1.588,16.711,0.0,✓,1.516
Gold,baron_adv,0.465,-0.612,12.718,0.0,✓,1.154
Gold,tower_adv,5.183,-5.49,37.479,0.0,✓,3.401
Gold,first_dragon,0.61,0.376,5.306,0.0,✓,0.481
Gold,first_baron,0.523,0.147,9.538,0.0,✓,0.866
Gold,first_tower,0.689,0.359,7.692,0.0,✓,0.698
Gold,first_riftherald,0.494,0.261,5.433,0.0,✓,0.493
Platinum,dragon_adv,1.574,-1.416,21.562,0.0,✓,1.546
Platinum,baron_adv,0.622,-0.487,16.731,0.0,✓,1.199
Platinum,tower_adv,5.552,-5.385,49.397,0.0,✓,3.538
Platinum,first_dragon,0.607,0.374,6.67,0.0,✓,0.478
Platinum,first_baron,0.617,0.178,14.022,0.0,✓,1.003
Platinum,first_tower,0.708,0.272,13.491,0.0,✓,0.967
Platinum,first_riftherald,0.519,0.254,7.89,0.0,✓,0.565
Emerald,dragon_adv,1.386,-1.417,17.608,0.0,✓,1.465
Emerald,baron_adv,0.483,-0.421,13.514,0.0,✓,1.12
Emerald,tower_adv,5.649,-5.192,41.527,0.0,✓,3.45
Emerald,first_dragon,0.589,0.398,4.676,0.0,✓,0.388
Emerald,first_baron,0.498,0.173,8.939,0.0,✓,0.733
Emerald,first_tower,0.762,0.308,12.228,0.0,✓,1.019
Emerald,first_riftherald,0.571,0.297,6.929,0.0,✓,0.573
Diamond,dragon_adv,1.366,-1.368,18.704,0.0,✓,1.484
Diamond,baron_adv,0.541,-0.463,15.685,0.0,✓,1.245
Diamond,tower_adv,5.562,-5.311,44.351,0.0,✓,3.52
Diamond,first_dragon,0.606,0.346,6.789,0.0,✓,0.539
Diamond,first_baron,0.556,0.137,12.382,0.0,✓,0.981
Diamond,first_tower,0.703,0.305,10.927,0.0,✓,0.867
Diamond,first_riftherald,0.531,0.219,8.575,0.0,✓,0.68
Master,dragon_adv,1.731,-1.584,17.847,0.0,✓,1.777
Master,baron_adv,0.687,-0.605,14.92,0.0,✓,1.476
Master,tower_adv,5.463,-5.319,38.014,0.0,✓,3.731
Master,first_dragon,0.683,0.362,6.815,0.0,✓,0.676
Master,first_baron,0.665,0.135,13.167,0.0,✓,1.283
Master,first_tower,0.705,0.33,8.144,0.0,✓,0.808
Master,first_riftherald,0.529,0.216,6.945,0.0,✓,0.681
GrandMaster,dragon_adv,1.413,-1.554,17.559,0.0,✓,1.578
GrandMaster,baron_adv,0.606,-0.684,15.661,0.0,✓,1.405
GrandMaster,tower_adv,5.606,-5.294,39.574,0.0,✓,3.557
GrandMaster,first_dragon,0.598,0.351,5.68,0.0,✓,0.511
GrandMaster,first_baron,0.636,0.182,11.633,0.0,✓,1.04
GrandMaster,first_tower,0.716,0.381,7.898,0.0,✓,0.713
GrandMaster,first_riftherald,0.492,0.268,5.274,0.0,✓,0.473
Challenger,dragon_adv,1.274,-1.276,14.172,0.0,✓,1.314
Challenger,baron_adv,0.619,-0.564,13.925,0.0,✓,1.315
Challenger,tower_adv,5.49,-5.028,39.029,0.0,✓,3.651
Challenger,first_dragon,0.561,0.376,4.05,0.0001,✓,0.378
Challenger,first_baron,0.613,0.171,11.195,0.0,✓,1.012
Challenger,first_tower,0.684,0.271,9.748,0.0,✓,0.907
Challenger,first_riftherald,0.539,0.293,5.562,0.0,✓,0.514
